tag_id,stap_id,type,lat,lon,ind,j,interp,known
16IQ,12,simulation,36.625,3.375,15698,10,,FALSE
16IQ,13,simulation,35.875,3.625,15885,1,,FALSE
16IQ,13,simulation,33.875,4.125,16261,2,,FALSE
16IQ,13,simulation,35.125,5.375,17176,3,,FALSE
16IQ,13,simulation,34.875,4.625,16625,4,,FALSE
16IQ,13,simulation,36.375,5.125,16987,5,,FALSE
16IQ,13,simulation,36.375,5.125,16987,6,,FALSE
16IQ,13,simulation,35.375,4.875,16807,7,,FALSE
16IQ,13,simulation,35.375,3.875,16071,8,,FALSE
16IQ,13,simulation,35.625,3.875,16070,9,,FALSE
16IQ,13,simulation,36.125,4.375,16436,10,,FALSE
16IQ,14,simulation,34.875,4.375,16441,1,,FALSE
16IQ,14,simulation,34.625,4.125,16258,2,,FALSE
16IQ,14,simulation,36.375,5.625,17355,3,,FALSE
16IQ,14,simulation,35.875,4.875,16805,4,,FALSE
16IQ,14,simulation,35.875,5.875,17541,5,,FALSE
16IQ,14,simulation,35.875,4.375,16437,6,,FALSE
16IQ,14,simulation,34.625,3.875,16074,7,,FALSE
16IQ,14,simulation,35.875,4.875,16805,8,,FALSE
16IQ,14,simulation,35.125,3.625,15888,9,,FALSE
16IQ,14,simulation,35.875,5.125,16989,10,,FALSE
16IQ,15,simulation,27.625,3.125,15550,1,,FALSE
16IQ,15,simulation,29.125,-0.125,13152,2,,FALSE
16IQ,15,simulation,30.625,3.875,16090,3,,FALSE
16IQ,15,simulation,35.375,0.375,13495,4,,FALSE
16IQ,15,simulation,29.125,0.875,13888,5,,FALSE
16IQ,15,simulation,31.625,3.875,16086,6,,FALSE
16IQ,15,simulation,29.125,3.375,15728,7,,FALSE
16IQ,15,simulation,29.125,3.875,16096,8,,FALSE
16IQ,15,simulation,30.375,3.125,15539,9,,FALSE
16IQ,15,simulation,30.375,3.375,15723,10,,FALSE
16IQ,16,simulation,25.875,-0.625,12797,1,,FALSE
16IQ,16,simulation,26.875,1.125,14081,2,,FALSE
16IQ,16,simulation,36.375,2.375,14963,3,,FALSE
16IQ,16,simulation,26.625,0.125,13346,4,,FALSE
16IQ,16,simulation,25.625,-0.375,12982,5,,FALSE
16IQ,16,simulation,27.125,1.625,14448,6,,FALSE
16IQ,16,simulation,27.625,-0.375,12974,7,,FALSE
16IQ,16,simulation,26.625,1.375,14266,8,,FALSE
16IQ,16,simulation,35.625,0.375,13494,9,,FALSE
16IQ,16,simulation,25.625,-0.125,13166,10,,FALSE
16IQ,17,simulation,24.875,3.375,15745,1,,FALSE
16IQ,17,simulation,20.375,3.375,15763,2,,FALSE
16IQ,17,simulation,31.875,0.625,13693,3,,FALSE
16IQ,17,simulation,21.375,7.625,18887,4,,FALSE
16IQ,17,simulation,23.875,3.125,15565,5,,FALSE
16IQ,17,simulation,20.625,3.375,15762,6,,FALSE
16IQ,17,simulation,20.875,2.125,14841,7,,FALSE
16IQ,17,simulation,20.375,3.125,15579,8,,FALSE
16IQ,17,simulation,27.875,2.625,15181,9,,FALSE
16IQ,17,simulation,26.875,7.875,19049,10,,FALSE
16IQ,18,simulation,25.375,-0.375,12983,1,,FALSE
